6.894093497,6.431847233,0
6.83500579,6.47723193,0
6.713705576,6.420997283,0
7.036623848,6.410961576,0
6.885048297,6.192379908,0
5.56777,8.38888,0
4.65372,5.99127,0
3.104409648,5.191210969,1
3.67722473,5.596775162,1
3.263875844,5.377315743,1
3.380289873,5.231998465,1
3.361551909,5.67952656,1
0.147112609,9.35712623,2
0.151840277,9.355817175,2
0.141168123,9.360310525,2
0.1471373,9.357882597,2
0.149892186,9.354882142,2
0.887057331,9.126921456,2
0.966668274,9.07734859,2
0.888798653,9.036912031,2
1.056405425,8.887618851,2
0.814399217,8.933105902,2
9.45372,1.65243,3
9.1324,8.6732,3
